n00001740	entity
n13082293	genus Rhizoctinia, form genus Rhizoctinia
n13082568	rhizoctinia
n13082711	Ozonium, genus Ozonium
n13082829	Sclerotium, genus Sclerotium
n13083023	houseplant
n13083306	garden plant
n13083461	bedder, bedding plant
n13083586	vascular plant, tracheophyte
n13084184	succulent
n13084479	nonvascular organism
n13084633	relict
n13084834	cultivar
n13084993	cultivated plant
n13085113	weed
n13085747	wort
n13085864	crop, harvest
n13086063	cash crop
n13086220	catch crop
n13086438	cover crop
n13086556	field crop
n13086753	fruitage
n13086908	plant part, plant structure
n13087625	plant organ
n13088096	plant process, enation
n13088460	apophysis
n13088688	callus
n13088858	blister
n13088989	nodule, tubercle
n13089135	spur
n13089246	fruiting body
n13089419	aculeus
n13089526	acumen
n13089631	spine, thorn, prickle, pricker, sticker, spikelet
n13089902	glochidium, glochid
n13090018	brier
n13090091	hair, fuzz, tomentum
n13090248	stinging hair
n13090395	coma
n13090594	beard
n13090743	awn
n13090871	aril
n13091057	duct
n13091227	laticifer
n13091312	antheridium
n13091492	antheridiophore
n13091620	sporophyll, sporophyl
n13091774	sporangium, spore case, spore sac
n13091982	sporangiophore
n13092078	ascus
n13092240	ascospore
n13092385	arthrospore
n13092548	arthrospore
n13092722	theca, sac
n13092836	paraphysis
n13092987	eusporangium
n13093102	leptosporangium
n13093275	tetrasporangium
n13093380	sporophore
n13093629	gametangium
n13093725	gametoecium
n13093852	gynoecium
n13093928	androecium
n13094003	gametophore
n13094145	sorus
n13094273	sorus
n13094381	indusium
n13094556	veil, velum
n13094732	universal veil
n13095013	partial veil
n13095348	annulus, skirt
n13095543	antherozoid, spermatozoid
n13095685	plant tissue
n13096035	pulp, flesh
n13096159	pith
n13096317	parenchyma
n13096677	chlorenchyma
n13096779	lignum
n13096863	vascular tissue
n13097187	stele
n13097338	cambium
n13097536	sapwood
n13097752	heartwood, duramen
n13097949	vascular bundle, vascular strand, fibrovascular bundle
n13098186	vein, nervure
n13098420	midrib, midvein
n13098515	vascular ray, medullary ray
n13098648	xylem
n13098853	tracheid
n13098962	phloem, bast
n13099194	sieve tube
n13099373	pseudophloem
n13099444	bast, bast fiber
n13099586	gall
n13099734	oak apple
n13099833	evergreen, evergreen plant
n13099999	deciduous plant
n13100156	poisonous plant
n13100677	vine
n13102409	climber
n13102648	creeper
n13102775	tendril
n13102946	cirrus, cirrhus
n13103023	root climber
n13103136	woody plant, ligneous plant
n13103660	lignosae
n13103750	arborescent plant
n13103877	snag
n13104059	tree
n13107694	timber tree
n13107807	treelet
n13107891	arbor
n13108131	bean tree
n13108323	pollard
n13108481	sapling
n13108545	shade tree
n13108662	gymnospermous tree
n13108841	conifer, coniferous tree
n13109733	angiospermous tree, flowering tree
n13110915	nut tree
n13111174	spice tree
n13111340	fever tree
n13111504	stump, tree stump
n13111700	stool
n13111881	bonsai
n13112035	ming tree
n13112201	ming tree
n13112296	groundcover, ground cover
n13112427	groundcover, ground cover
n13112664	shrub, bush
n13118330	undershrub
n13118398	burning bush
n13118569	shrublet
n13118707	subshrub, suffrutex
n13119870	bramble
n13120003	flowering shrub
n13120211	liana
n13120446	parasitic plant
n13120775	hemiparasite, semiparasite
n13120958	geophyte
n13121104	desert plant, xerophyte, xerophytic plant, xerophile, xerophilous plant
n13121349	mesophyte, mesophytic plant
n13121544	aquatic plant, water plant, hydrophyte, hydrophytic plant
n13122364	marsh plant, bog plant, swamp plant
n13122985	air plant, epiphyte, aerophyte, epiphytic plant
n13123309	hemiepiphyte, semiepiphyte
n13123431	strangler, strangler tree
n13123681	rock plant
n13123841	lithophyte, lithophytic plant
n13124019	rupestral plant, rupestrine plant, rupicolous plant, saxicolous plant
n13124164	saprophyte, saprophytic organism
n13124358	saprobe
n13124529	katharobe
n13124654	autophyte, autophytic plant, autotroph, autotrophic organism
n13124855	butt
n13125003	rootage, root system
n13125117	root
n13125882	pneumatophore
n13126050	taproot
n13126192	adventitious root
n13126308	root crop
n13126428	root cap
n13126580	rootlet
n13126684	root hair
n13126856	prop root
n13127001	prophyll
n13127091	stock
n13127303	rootstock
n13127473	cutting, slip
n13127666	quickset
n13127843	stolon, runner, offset
n13128003	crown, treetop
n13128156	capitulum
n13128278	tuberous plant
n13128365	tuber
n13128582	rhizome, rootstock, rootstalk
n13128771	axis
n13128976	rachis
n13129078	caudex
n13129165	stalk, stem
n13129826	internode
n13129938	beanstalk
n13130014	cladode, cladophyll, phylloclad, phylloclade
n13130161	receptacle
n13130305	stock, caudex
n13130423	axil
n13130569	stipe
n13130726	scape, flower stalk
n13130885	meristem
n13131028	umbel
n13131282	corymb
n13131516	ray
n13131618	petiole, leafstalk
n13131752	phyllode
n13131883	blade, leaf blade
n13132034	peduncle
n13132156	pedicel, pedicle
n13132338	flower cluster
n13132486	raceme
n13132656	panicle
n13132756	thyrse, thyrsus
n13132940	cyme
n13133140	cymule
n13133233	glomerule
n13133316	scorpioid cyme
n13133438	spike
n13133613	ear, spike, capitulum
n13133786	capitulum, head
n13133932	spadix
n13134059	bulb
n13134302	bulbous plant
n13134531	bulbil, bulblet
n13134680	corm
n13134844	cormous plant
n13134947	fruit
n13135692	fruitlet
n13135832	seed
n13136316	bean
n13136556	nut
n13136781	nutlet
n13136863	pyrene
n13137010	kernel, meat
n13137225	syconium
n13137409	berry
n13137672	aggregate fruit, multiple fruit, syncarp
n13137951	simple fruit, bacca
n13138155	acinus
n13138308	drupe, stone fruit
n13138658	drupelet
n13138842	pome, false fruit
n13139055	pod, seedpod
n13139321	loment
n13139482	pyxidium, pyxis
n13139647	husk
n13139837	cornhusk
n13139918	hull
n13140049	pod, cod, seedcase
n13140242	pea pod, peasecod
n13140367	accessory fruit, pseudocarp
n13140535	Rhamnales, order Rhamnales
n13140699	Rhamnaceae, family Rhamnaceae, buckthorn family
n13140993	Rhamnus, genus Rhamnus
n13141141	buckthorn
n13141415	buckthorn berry, yellow berry
n13141564	cascara buckthorn, bearberry, bearwood, chittamwood, chittimwood, Rhamnus purshianus
n13141797	cascara, cascara sagrada, chittam bark, chittem bark
n13141972	Carolina buckthorn, indian cherry, Rhamnus carolinianus
n13142182	coffeeberry, California buckthorn, California coffee, Rhamnus californicus
n13142380	alder buckthorn, alder dogwood, Rhamnus frangula
n13142504	redberry, red-berry, Rhamnus croceus
n13142695	Colubrina, genus Colubrina
n13142907	nakedwood
n13143097	Ziziphus, genus Ziziphus
n13143285	jujube, jujube bush, Christ's-thorn, Jerusalem thorn, Ziziphus jujuba
n13143483	lotus tree, Ziziphus lotus
n13143626	Paliurus, genus Paliurus
n13143758	Christ's-thorn, Jerusalem thorn, Paliurus spina-christi
n13143930	Pomaderris, genus Pomaderris
n13144084	hazel, hazel tree, Pomaderris apetala
n13144303	Vitaceae, family Vitaceae, Vitidaceae, grapevine family
n13144511	Vitis, genus Vitis
n13144794	grape, grapevine, grape vine
n13145040	fox grape, Vitis labrusca
n13145250	muscadine, Vitis rotundifolia
n13145444	vinifera, vinifera grape, common grape vine, Vitis vinifera
n13145924	Chardonnay, chardonnay grape
n13146035	Pinot, Pinot grape
n13146225	Pinot noir
n13146403	Pinot blanc
n13146583	Sauvignon grape
n13146740	Cabernet Sauvignon grape
n13146928	Sauvignon blanc
n13147045	Merlot
n13147153	Muscadet
n13147270	Riesling
n13147386	Zinfandel
n13147532	Chenin blanc
n13147689	malvasia
n13147788	muscat, muskat
n13147918	Verdicchio
n13148019	Parthenocissus, genus Parthenocissus
n13148208	Boston ivy, Japanese ivy, Parthenocissus tricuspidata
n13148384	Virginia creeper, American ivy, woodbine, Parthenocissus quinquefolia
n13148602	Piperales, order Piperales
n13148791	Piperaceae, family Piperaceae, pepper family
n13149039	Piper, genus Piper
n13149296	true pepper, pepper vine
n13149506	pepper, common pepper, black pepper, white pepper, Madagascar pepper, Piper nigrum
n13149829	long pepper, Piper longum
n13149970	betel, betel pepper, Piper betel
n13150178	cubeb, cubeb vine, Java pepper, Piper cubeba
n13150378	cubeb
n13150592	schizocarp
n13150741	genus Peperomia
n13150894	peperomia
n13151082	watermelon begonia, Peperomia argyreia, Peperomia sandersii
n13151265	Chloranthaceae, family Chloranthaceae
n13151439	Chloranthus, genus Chloranthus
n13151568	Saururaceae, family Saururaceae, lizard's-tail family
n13151820	Saururus, genus Saururus
n13151975	lizard's-tail, swamp lily, water dragon, Saururus cernuus
n13152203	Anemopsis, genus Anemopsis
n13152339	yerba mansa, Anemopsis californica
n13152592	Houttuynia, genus Houttuynia
n13152742	leaf, leafage, foliage
n13153532	amplexicaul leaf
n13153633	greenery, verdure
n13153729	hydathode, water pore, water stoma
n13153888	lenticel
n13154077	leaflet
n13154190	node, leaf node
n13154388	pinna, pinnule
n13154494	frond
n13154586	pad
n13154736	lily pad
n13154841	bract
n13155095	bracteole, bractlet
n13155175	spathe
n13155305	involucre
n13155451	lemma, flowering glume
n13155611	glume
n13155759	scale, scale leaf
n13155899	squamule
n13156006	fig leaf
n13156083	simple leaf
n13156592	compound leaf
n13156799	trifoliolate leaf
n13156884	quinquefoliate leaf
n13156986	palmate leaf
n13157137	pinnate leaf
n13157346	bijugate leaf, bijugous leaf, twice-pinnate
n13157481	decompound leaf
n13157595	acerate leaf, needle
n13157684	acuminate leaf
n13157780	cordate leaf
n13157858	cuneate leaf
n13157971	deltoid leaf
n13158071	elliptic leaf
n13158167	ensiform leaf
n13158258	hastate leaf
n13158386	lanceolate leaf
n13158512	linear leaf, elongate leaf
n13158605	lyrate leaf
n13158714	obtuse leaf
n13158815	oblanceolate leaf
n13158925	oblong leaf
n13159044	obovate leaf
n13159155	ovate leaf
n13159263	orbiculate leaf
n13159357	pandurate leaf, panduriform leaf
n13159457	peltate leaf
n13159558	perfoliate leaf
n13159691	reniform leaf
n13159778	sagittate-leaf, sagittiform leaf
n13159890	spatulate leaf
n13160015	bipinnate leaf
n13160116	even-pinnate leaf, abruptly-pinnate leaf
n13160254	odd-pinnate leaf
n13160365	pedate leaf
n13160485	entire leaf
n13160604	crenate leaf
n13160695	serrate leaf
n13160831	dentate leaf
n13160938	denticulate leaf
n13161056	emarginate leaf
n13161151	erose leaf
n13161254	runcinate leaf
n13161412	lobed leaf
n13161506	lobe
n13161639	parallel-veined leaf
n13161754	parted leaf
n13161904	prickly-edged leaf
n13161998	rosette
n13162164	ligule
n13162297	bark
n13162815	winter's bark
n13162945	tapa, tapa bark, tappa, tappa bark
n13163093	angostura bark, angostura
n13163250	branch
n13163471	culm
n13163553	deadwood
n13163649	haulm, halm
n13163803	limb, tree branch
n13163991	branchlet, twig, sprig
n13164285	wand
n13164403	withe, withy
n13164501	osier
n13164583	sprout
n13164763	shoot
n13164881	sucker
n13164970	tiller
n13165086	bud
n13165286	leaf bud
n13165409	flower bud
n13165552	mixed bud
n13165646	stick
n13165727	bough
n13165815	trunk, tree trunk, bole
n13166044	burl
n13166191	burl
n13166338	fern family
n13167078	fern genus
n13169219	Filicopsida, class Filicopsida, Filicinae, class Filicinae
n13169674	Filicales, order Filicales, Polypodiales, order Polypodiales
n13170060	Gleicheniaceae, family Gleicheniaceae
n13170286	Gleichenia, genus Gleichenia
n13170498	Dicranopteris, genus Dicranopteris
n13170661	Diplopterygium, genus Diplopterygium
n13170840	giant scrambling fern, Diplopterygium longissimum
n13171041	Sticherus, genus Sticherus
n13171210	umbrella fern, fan fern, Sticherus flabellatus, Gleichenia flabellata
n13171447	Parkeriaceae, family Parkeriaceae
n13171649	Ceratopteris, genus Ceratopteris
n13171797	floating fern, water sprite, Ceratopteris pteridioides
n13171975	floating fern, Ceratopteris thalictroides
n13172107	Polypodiaceae, family Polypodiaceae
n13172725	Polypodium, genus Polypodium
n13172923	polypody
n13173132	licorice fern, Polypodium glycyrrhiza
n13173259	grey polypody, gray polypody, resurrection fern, Polypodium polypodioides
n13173488	leatherleaf, leathery polypody, coast polypody, Polypodium scouleri
n13173697	rock polypody, rock brake, American wall fern, Polypodium virgianum
n13173882	common polypody, adder's fern, wall fern, golden maidenhair, golden polypody, sweet fern, Polypodium vulgare
n13174206	Aglaomorpha, genus Aglaomorpha
n13174354	bear's-paw fern, Aglaomorpha meyeniana
n13174515	Campyloneurum, genus Campyloneurum
n13174670	strap fern
n13174823	Florida strap fern, cow-tongue fern, hart's-tongue fern
n13175074	Central American strap fern, narrow-leaved strap fern, Campyloneurum augustifolium
n13175324	Drymoglossum, genus Drymoglossum
n13175484	Drynaria, genus Drynaria
n13175682	basket fern, Drynaria rigidula
n13175847	genus Lecanopteris
n13176000	lecanopteris
n13176201	Microgramma, genus Microgramma
n13176363	snake polypody, Microgramma-piloselloides
n13176523	Microsorium, genus Microsorium
n13176714	climbing bird's nest fern, Microsorium punctatum
n13176873	Phlebodium, genus Phlebodium
n13177048	golden polypody, serpent fern, rabbit's-foot fern, Phlebodium aureum, Polypodium aureum
n13177354	Platycerium, genus Platycerium
n13177529	staghorn fern
n13177768	South American staghorn, Platycerium andinum
n13177884	common staghorn fern, elkhorn fern, Platycerium bifurcatum, Platycerium alcicorne
n13178107	Pyrrosia, genus Pyrrosia
n13178284	felt fern, tongue fern, Pyrrosia lingua, Cyclophorus lingua
n13178500	Solanopteris, genus Solanopteris
n13178707	potato fern, Solanopteris bifrons
n13178883	Cyclophorus, genus Cyclophorus
n13179056	myrmecophyte
n13179216	Adiantaceae, family Adiantaceae
n13179410	Vittariaceae, family Vittariaceae
n13179648	Vittaria, genus Vittaria
n13179804	grass fern, ribbon fern, Vittaria lineata
n13179972	Aspleniaceae, family Aspleniaceae
n13180304	Asplenium, genus Asplenium
n13180534	spleenwort
n13180875	black spleenwort, Asplenium adiantum-nigrum
n13181055	bird's nest fern, Asplenium nidus
n13181244	ebony spleenwort, Scott's Spleenwort, Asplenium platyneuron
n13181406	black-stem spleenwort, black-stemmed spleenwort, little ebony spleenwort
n13181616	Camptosorus, genus Camptosorus
n13181811	walking fern, walking leaf, Asplenium rhizophyllum, Camptosorus rhizophyllus
n13181988	maidenhair spleenwort, Asplenium trichomanes
n13182164	green spleenwort, Asplenium viride
n13182338	mountain spleenwort, Asplenium montanum
n13182462	wall rue, wall rue spleenwort, Asplenium ruta-muraria
n13182662	Bradley's spleenwort, Asplenium bradleyi
n13182799	lobed spleenwort, Asplenium pinnatifidum
n13182937	lanceolate spleenwort, Asplenium billotii
n13183056	hart's-tongue, hart's-tongue fern, Asplenium scolopendrium, Phyllitis scolopendrium
n13183251	Ceterach, genus Ceterach
n13183489	scale fern, scaly fern, Asplenium ceterach, Ceterach officinarum
n13183669	Pleurosorus, genus Pleurosorus
n13183874	Schaffneria, genus Schaffneria
n13184001	Schaffneria nigripes, Asplenium nigripes, Scolopendrium nigripes
n13184164	Phyllitis, genus Phyllitis, genus Scolopendrium
n13184394	scolopendrium
n13184492	Blechnaceae, family Blechnaceae
n13184873	Blechnum, genus Blechnum
n13185134	hard fern
n13185269	deer fern, Blechnum spicant
n13185436	genus Doodia, Doodia
n13185658	doodia, rasp fern
n13185820	Sadleria, genus Sadleria
n13185998	Stenochlaena, genus Stenochlaena
n13186200	Woodwardia, genus Woodwardia
n13186388	chain fern
n13186546	Virginia chain fern, Woodwardia virginica
n13186654	tree fern
n13187031	Cyatheaceae, family Cyatheaceae
n13187167	Cyathea, genus Cyathea
n13187367	silver tree fern, sago fern, black tree fern, Cyathea medullaris
n13187604	Davalliaceae, family Davalliaceae
n13187826	genus Davallia
n13188096	davallia
n13188268	hare's-foot fern
n13188462	Canary Island hare's foot fern, Davallia canariensis
n13188619	Australian hare's foot, Davallia pyxidata
n13188767	squirrel's-foot fern, ball fern, Davalia bullata, Davalia bullata mariesii, Davallia Mariesii
n13188973	Dennstaedtiaceae, family Dennstaedtiaceae
n13189222	Dennstaedtia, genus Dennstaedtia
n13189428	hay-scented, hay-scented fern, scented fern, boulder fern, Dennstaedtia punctilobula
n13189656	Pteridium, genus Pteridium
n13189844	bracken, pasture brake, brake, Pteridium aquilinum
n13190060	bracken, Pteridium esculentum
n13190218	Dicksoniaceae, family Dicksoniaceae
n13190469	Dicksonia, genus Dicksonia
n13190747	soft tree fern, Dicksonia antarctica
n13190917	Cibotium, genus Cibotium
n13191148	Scythian lamb, Cibotium barometz
n13191318	Culcita, genus Culcita
n13191620	false bracken, Culcita dubia
n13191770	genus Thyrsopteris
n13191884	thyrsopteris, Thyrsopteris elegans
n13192025	Dryopteridaceae, family Dryopteridaceae, Athyriaceae, family Athyriaceae
n13192625	shield fern, buckler fern
n13192898	Dryopteris, genus Dryopteris
n13193143	broad buckler-fern, Dryopteris dilatata
n13193269	fragrant cliff fern, fragrant shield fern, fragrant wood fern, Dryopteris fragrans
n13193466	Goldie's fern, Goldie's shield fern, goldie's wood fern, Dryopteris goldiana
n13193642	wood fern, wood-fern, woodfern
n13193856	male fern, Dryopteris filix-mas
n13194036	marginal wood fern, evergreen wood fern, leatherleaf wood fern, Dryopteris marginalis
n13194212	mountain male fern, Dryopteris oreades
n13194328	Athyrium, genus Athyrium
n13194572	lady fern, Athyrium filix-femina
n13194758	Alpine lady fern, Athyrium distentifolium
n13194918	silvery spleenwort, glade fern, narrow-leaved spleenwort, Athyrium pycnocarpon, Diplazium pycnocarpon
n13195151	Cyrtomium, genus Cyrtomium
n13195341	holly fern, Cyrtomium aculeatum, Polystichum aculeatum
n13195547	Cystopteris, genus Cystopteris
n13195761	bladder fern
n13196003	brittle bladder fern, brittle fern, fragile fern, Cystopteris fragilis
n13196234	mountain bladder fern, Cystopteris montana
n13196369	bulblet fern, bulblet bladder fern, berry fern, Cystopteris bulbifera
n13196545	Deparia, genus Deparia
n13196738	silvery spleenwort, Deparia acrostichoides, Athyrium thelypteroides
n13196942	Diacalpa, genus Diacalpa
n13197085	Gymnocarpium, genus Gymnocarpium
n13197274	oak fern, Gymnocarpium dryopteris, Thelypteris dryopteris
n13197507	limestone fern, northern oak fern, Gymnocarpium robertianum
n13197670	Lastreopsis, genus Lastreopsis
n13197800	Matteuccia, genus Matteuccia, Pteretis, genus Pteretis
n13198054	ostrich fern, shuttlecock fern, fiddlehead, Matteuccia struthiopteris, Pteretis struthiopteris, Onoclea struthiopteris
n13198354	Olfersia, genus Olfersia
n13198482	hart's-tongue, hart's-tongue fern, Olfersia cervina, Polybotrya cervina, Polybotria cervina
n13198728	Onoclea, genus Onoclea
n13198914	sensitive fern, bead fern, Onoclea sensibilis
n13199244	Polybotrya, genus Polybotrya, Polybotria, genus Polybotria
n13199445	Polystichum, genus Polystichum
n13199717	Christmas fern, canker brake, dagger fern, evergreen wood fern, Polystichum acrostichoides
n13199970	holly fern
n13200193	Braun's holly fern, prickly shield fern, Polystichum braunii
n13200411	northern holly fern, Polystichum lonchitis
n13200542	western holly fern, Polystichum scopulinum
n13200651	soft shield fern, Polystichum setiferum
n13200806	Rumohra, genus Rumohra
n13200986	leather fern, leatherleaf fern, ten-day fern, Rumohra adiantiformis, Polystichum adiantiformis
n13201239	Tectaria, genus Tectaria
n13201423	button fern, Tectaria cicutaria
n13201566	Indian button fern, Tectaria macrodonta
n13201725	genus Woodsia
n13201969	woodsia
n13202125	rusty woodsia, fragrant woodsia, oblong woodsia, Woodsia ilvensis
n13202355	Alpine woodsia, northern woodsia, flower-cup fern, Woodsia alpina
n13202602	smooth woodsia, Woodsia glabella
n13202749	Lomariopsidaceae, family Lomariopsidaceae
n13202933	Bolbitis, genus Bolbitis
n13203115	Lomogramma, genus Lomogramma
n13203251	Lophosoriaceae, family Lophosoriaceae
n13203405	Lophosoria, genus Lophosoria
n13203551	Loxomataceae, family Loxomataceae
n13203708	Loxoma, genus Loxoma
n13203842	Oleandraceae, family Oleandraceae
n13204102	Oleandra, genus Oleandra
n13204276	oleander fern, Oleandra neriiformis, Oleandra mollis
n13204482	Arthropteris, genus Arthropteris
n13204646	Nephrolepis, genus Nephrolepis
n13204826	sword fern
n13205058	Boston fern, Nephrolepis exaltata, Nephrolepis exaltata bostoniensis
n13205249	basket fern, toothed sword fern, Nephrolepis pectinata
n13205482	Pteridaceae, family Pteridaceae
n13206001	Acrostichum, genus Acrostichum
n13206178	golden fern, leather fern, Acrostichum aureum
n13206438	Actiniopteris, genus Actiniopteris
n13206584	Adiantum, genus Adiantum
n13206817	maidenhair, maidenhair fern
n13207094	common maidenhair, Venushair, Venus'-hair fern, southern maidenhair, Venus maidenhair, Adiantum capillus-veneris
n13207335	American maidenhair fern, five-fingered maidenhair fern, Adiantum pedatum
n13207572	Bermuda maidenhair, Bermuda maidenhair fern, Adiantum bellum
n13207736	brittle maidenhair, brittle maidenhair fern, Adiantum tenerum
n13207923	Farley maidenhair, Farley maidenhair fern, Barbados maidenhair, glory fern, Adiantum tenerum farleyense
n13208138	Anogramma, genus Anogramma
n13208302	annual fern, Jersey fern, Anogramma leptophylla
n13208468	Cheilanthes, genus Cheilanthes
n13208705	lip fern, lipfern
n13208965	smooth lip fern, Alabama lip fern, Cheilanthes alabamensis
n13209129	lace fern, Cheilanthes gracillima
n13209270	wooly lip fern, hairy lip fern, Cheilanthes lanosa
n13209460	southwestern lip fern, Cheilanthes eatonii
n13209647	Coniogramme, genus Coniogramme
n13209808	bamboo fern, Coniogramme japonica
n13210006	Cryptogramma, genus Cryptogramma
n13210205	rock brake
n13210350	American rock brake, American parsley fern, Cryptogramma acrostichoides
n13210597	European parsley fern, mountain parsley fern, Cryptogramma crispa
n13210827	Doryopteris, genus Doryopteris
n13211020	hand fern, Doryopteris pedata
n13211179	Jamesonia, genus Jamesonia
n13211305	Onychium, genus Onychium
n13211516	Pellaea, genus Pellaea
n13211790	cliff brake, cliff-brake, rock brake
n13212025	coffee fern, Pellaea andromedifolia
n13212175	purple rock brake, Pellaea atropurpurea
n13212379	bird's-foot fern, Pellaea mucronata, Pellaea ornithopus
n13212559	button fern, Pellaea rotundifolia
n13212751	Pityrogramma, genus Pityrogramma
n13213066	silver fern, Pityrogramma argentea
n13213235	silver fern, Pityrogramma calomelanos
n13213397	golden fern, Pityrogramma calomelanos aureoflava
n13213577	gold fern, Pityrogramma chrysophylla
n13213768	Pteris, genus Pteris
n13214031	brake
n13214217	Pteris cretica
n13214340	spider brake, spider fern, Pteris multifida
n13214485	ribbon fern, spider fern, Pteris serrulata
n13214645	Marattiales, order Marattiales
n13214813	Marattiaceae, family Marattiaceae
n13215063	Marattia, genus Marattia
n13215258	potato fern, Marattia salicina
n13215462	genus Angiopteris
n13215586	angiopteris, giant fern, Angiopteris evecta
n13215799	Danaea, genus Danaea
n13215936	Psilopsida, class Psilopsida, Psilotatae, class Psilotatae
n13216238	Psilotales, order Psilotales
n13216475	Psilotaceae, family Psilotaceae
n13216673	Psilotum, genus Psilotum
n13216812	whisk fern
n13217005	skeleton fork fern, Psilotum nudum
n13217213	Psilophytales, order Psilophytales
n13217494	psilophyte
n13217624	Psilophytaceae, family Psilophytaceae
n13217763	genus Psilophyton
n13217993	psilophyton
n13218114	Rhyniaceae, family Rhyniaceae
n13218281	Rhynia, genus Rhynia
n13218504	Horneophyton, genus Horneophyton
n13218722	Sphenopsida, class Sphenopsida, Equisetatae, class Equisetatae
n13218900	Equisetales, order Equisetales
n13219067	Equisetaceae, family Equisetaceae, horsetail family
n13219258	Equisetum, genus Equisetum
n13219422	horsetail
n13219833	common horsetail, field horsetail, Equisetum arvense
n13219976	swamp horsetail, water horsetail, Equisetum fluviatile
n13220122	scouring rush, rough horsetail, Equisetum hyemale, Equisetum hyemale robustum, Equisetum robustum
n13220355	marsh horsetail, Equisetum palustre
n13220525	wood horsetail, Equisetum Sylvaticum
n13220663	variegated horsetail, variegated scouring rush, Equisetum variegatum
n13220842	Lycopsida, class Lycopsida, Lycopodiate, class Lycopodiate
n13221243	Lycophyta
n13221383	Lycopodineae, class Lycopodineae
n13221529	club moss, club-moss, lycopod
n13221807	Lepidodendrales, order Lepidodendrales
n13222035	Lepidodendraceae, family Lepidodendraceae
n13222227	Lycopodiales, order Lycopodiales
n13222477	Lycopodiaceae, family Lycopodiaceae, clubmoss family
n13222669	Lycopodium, genus Lycopodium
n13222877	shining clubmoss, Lycopodium lucidulum
n13222985	alpine clubmoss, Lycopodium alpinum
n13223090	fir clubmoss, mountain clubmoss, little clubmoss, Lycopodium selago
n13223265	ground pine, Christmas green
n13223485	running pine, Lycopodium clavitum
n13223588	ground cedar, staghorn moss, Lycopodium complanatum
n13223710	ground fir, princess pine, tree clubmoss, Lycopodium obscurum
n13223843	foxtail grass, Lycopodium alopecuroides
n13224086	Selaginellales, order Selaginellales
n13224256	Selaginellaceae, family Selaginellaceae
n13224454	Selaginella, genus Selaginella
n13224673	spikemoss, spike moss, little club moss
n13224922	meadow spikemoss, basket spikemoss, Selaginella apoda
n13225075	rock spikemoss, dwarf lycopod, Selaginella rupestris
n13225244	desert selaginella, Selaginella eremophila
n13225365	resurrection plant, rose of Jericho, Selaginella lepidophylla
n13225617	florida selaginella, Selaginella eatonii
n13225729	Isoetales, order Isoetales
n13225955	Isoetaceae, family Isoetaceae, quillwort family
n13226135	Isoetes, genus Isoetes
n13226320	quillwort
n13226526	Geoglossaceae, family Geoglossaceae
n13226698	Geoglossum, genus Geoglossum
n13226871	earthtongue, earth-tongue
n13227009	Cryptogrammataceae, family Cryptogrammataceae
n13227235	Thelypteridaceae, family Thelypteridaceae
n13227557	Thelypteris, genus Thelypteris
n13227778	marsh fern, Thelypteris palustris, Dryopteris thelypteris
n13228017	snuffbox fern, meadow fern, Thelypteris palustris pubescens, Dryopteris thelypteris pubescens
n13228194	Amauropelta, genus Amauropelta
n13228357	genus Christella
n13228536	christella
n13228692	Cyclosorus, genus Cyclosorus
n13228867	Goniopteris, genus Goniopteris
n13229018	Macrothelypteris, genus Macrothelypteris
n13229227	Meniscium, genus Meniscium
n13229358	Oreopteris, genus Oreopteris
n13229543	mountain fern, Oreopteris limbosperma, Dryopteris oreopteris
n13229747	Parathelypteris, genus Parathelypteris
n13229951	New York fern, Parathelypteris novae-boracensis, Dryopteris noveboracensis
n13230190	Massachusetts fern, Parathelypteris simulata, Thelypteris simulata
n13230421	Phegopteris, genus Phegopteris
n13230662	beech fern
n13230843	broad beech fern, southern beech fern, Phegopteris hexagonoptera, Dryopteris hexagonoptera, Thelypteris hexagonoptera
n13231078	long beech fern, narrow beech fern, northern beech fern, Phegopteris connectilis, Dryopteris phegopteris, Thelypteris phegopteris
n13231298	rhizomorph
n13231436	Armillaria, genus Armillaria
n13231678	shoestring fungus
n13231919	Armillaria caligata, booted armillaria
n13232106	Armillaria ponderosa, white matsutake
n13232363	Armillaria zelleri
n13232515	Armillariella, genus Armillariella
n13232779	honey mushroom, honey fungus, Armillariella mellea
n13233012	Asclepiadaceae, family Asclepiadaceae, milkweed family
n13233435	asclepiad
n13233548	Asclepias, genus Asclepias
n13233727	milkweed, silkweed
n13234114	white milkweed, Asclepias albicans
n13234293	blood flower, swallowwort, Asclepias curassavica
n13234519	poke milkweed, Asclepias exaltata
n13234678	swamp milkweed, Asclepias incarnata
n13234857	Mead's milkweed, Asclepias meadii, Asclepia meadii
n13235011	purple silkweed, Asclepias purpurascens
n13235159	showy milkweed, Asclepias speciosa
n13235319	poison milkweed, horsetail milkweed, Asclepias subverticillata
n13235503	butterfly weed, orange milkweed, chigger flower, chiggerflower, pleurisy root, tuber root, Indian paintbrush, Asclepias tuberosa
n13235766	whorled milkweed, Asclepias verticillata
n13235947	Araujia, genus Araujia
n13236100	cruel plant, Araujia sericofera
n13236354	genus Cynancum
n13236495	cynancum
n13236726	genus Hoya
n13236887	hoya
n13237075	honey plant
n13237188	wax plant, Hoya carnosa
n13237343	Periploca, genus Periploca
n13237508	silk vine, Periploca graeca
n13237788	Sarcostemma, genus Sarcostemma
n13237988	soma, haoma, Sarcostemma acidum
n13238178	genus Stapelia
